sent_id,word_id,token,cpostag,postag,head,deprel,deps,parent_token,parent_deprel,stem_pos,parent_stem,parent_stem_pos
18,8,breath,NOUN,NN,7,pobj,8:pobj|7:pcomp,of,pcomp,breath_pobj,of,of_pcomp
18,9,from,ADP,IN,8,prep,9:prep|8:pobj,breath,pobj,from_prep,breath,breath_pobj
18,10,running,VERB,VBG,9,pcomp,10:pcomp|9:prep,from,prep,running_pcomp,from,from_prep
18,12,NA,VERB,VBD,0,ROOT,12:ROOT|0:NA,NA,NA,arrived_ROOT,NA,NA_NA
18,13,at,ADP,IN,12,prep,13:prep|12:ROOT,arrived,ROOT,at_prep,arrived,arrived_ROOT
18,14,grandma,NOUN,NNP,13,pobj,14:pobj|13:prep,at,prep,grandma_pobj,at,at_prep
18,15,'s,PRT,POS,14,possessive,15:possessive|14:pobj,Grandma,pobj,'s_possessive,Grandma,Grandma_pobj
18,16,and,CONJ,CC,12,cc,16:cc|12:ROOT,arrived,ROOT,and_cc,arrived,arrived_ROOT
18,17,knocked,VERB,VBD,12,conj,17:conj|12:ROOT,arrived,ROOT,knocked_conj,arrived,arrived_ROOT
18,18,lightly,ADV,RB,17,advmod,18:advmod|17:conj,knocked,conj,lightly_advmod,knock,knocked_conj
18,19,at,ADP,IN,17,prep,19:prep|17:conj,knocked,conj,at_prep,knock,knocked_conj
18,20,the,DET,DT,21,det,20:det|21:pobj,door,pobj,the_det,door,door_pobj
18,21,door,NOUN,NN,19,pobj,21:pobj|19:prep,at,prep,door_pobj,at,at_prep
19,2,oh,X,UH,3,discourse,2:discourse|3:ccomp,thank,ccomp,oh_discourse,thank,thank_ccomp
19,3,thank,VERB,VBP,28,ccomp,3:ccomp|28:ROOT,said,ROOT,thank_ccomp,said,said_ROOT
19,4,goodness,NOUN,NN,3,dobj,4:dobj|3:ccomp,thank,ccomp,goodness_dobj,thank,thank_ccomp
19,5,dear,ADJ,JJ,3,advmod,5:advmod|3:ccomp,thank,ccomp,dear_advmod,thank,thank_ccomp
19,7,come,VERB,VB,3,dep,7:dep|3:ccomp,thank,ccomp,come_dep,thank,thank_ccomp
19,8,in,PRT,RP,7,advmod,8:advmod|7:dep,Come,dep,in_advmod,Come,Come_dep
19,10,come,VERB,VB,3,dep,10:dep|3:ccomp,thank,ccomp,come_dep,thank,thank_ccomp
19,11,in,ADV,RB,10,advmod,11:advmod|10:dep,come,dep,in_advmod,Come,come_dep
19,13,i,PRON,PRP,15,nsubjpass,13:nsubjpass|15:ccomp,worried,ccomp,i_nsubjpass,worried,worried_ccomp
19,14,was,VERB,VBD,15,auxpass,14:auxpass|15:ccomp,worried,ccomp,was_auxpass,worried,worried_ccomp
19,15,worried,VERB,VBN,3,ccomp,15:ccomp|3:ccomp,thank,ccomp,worried_ccomp,thank,thank_ccomp
19,16,sick,ADJ,JJ,15,acomp,16:acomp|15:ccomp,worried,ccomp,sick_acomp,worried,worried_ccomp
19,17,that,ADP,IN,20,mark,17:mark|20:ccomp,happened,ccomp,that_mark,happened,happened_ccomp
19,18,something,NOUN,NN,20,nsubj,18:nsubj|20:ccomp,happened,ccomp,something_nsubj,happened,happened_ccomp
19,19,had,VERB,VBD,20,aux,19:aux|20:ccomp,happened,ccomp,had_aux,happened,happened_ccomp
19,20,happened,VERB,VBN,16,ccomp,20:ccomp|16:acomp,sick,acomp,happened_ccomp,sick,sick_acomp
19,21,to,ADP,IN,20,prep,21:prep|20:ccomp,happened,ccomp,to_prep,happened,happened_ccomp
19,22,you,PRON,PRP,21,pobj,22:pobj|21:prep,to,prep,you_pobj,to,to_prep
19,23,in,ADP,IN,20,prep,23:prep|20:ccomp,happened,ccomp,in_prep,happened,happened_ccomp
19,24,the,DET,DT,25,det,24:det|25:pobj,forest,pobj,the_det,forest,forest_pobj
19,25,forest,NOUN,NN,23,pobj,25:pobj|23:prep,in,prep,forest_pobj,in,in_prep
19,28,NA,VERB,VBD,0,ROOT,28:ROOT|0:NA,NA,NA,said_ROOT,NA,NA_NA
19,29,grandma,NOUN,NNP,30,nsubj,29:nsubj|30:dep,thinking,dep,grandma_nsubj,thinking,thinking_dep
19,30,thinking,VERB,VBG,28,dep,30:dep|28:ROOT,said,ROOT,thinking_dep,said,said_ROOT
19,31,that,ADP,IN,36,mark,31:mark|36:ccomp,granddaughter,ccomp,that_mark,granddaughter,granddaughter_ccomp
